Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
fazed-koas,04:56 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3941704553876426,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,False,16.0
waxen-maul,04:55 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3843887962891886,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,False,14.0
snowy-rime,04:47 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.39815724009449366,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,True,20.0
beaut-sorb,04:45 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3819371725082499,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,False,12.0
pesky-cham,04:36 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.40601238208455515,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,True,18.0
so-so-yeuk,04:34 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.40198595002861304,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,True,16.0
nowed-kyat,04:22 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4003518757820106,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,True,14.0
duple-cons,04:20 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.40240405137774027,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,True,12.0
local-chic,04:09 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.6076574180092305,-20.572461470686964,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,False,20.0
unmet-goos,04:08 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.6064924518221582,-19.55718122264766,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,False,18.0
peart-ewes,04:00 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.6327161353791932,-18.489108953388754,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,False,16.0
tawie-salp,03:59 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5993451341075708,-17.492851088384715,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,False,14.0
agley-fees,03:52 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5857734299304628,-19.778727109367424,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,True,20.0
beery-eyot,03:51 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5845030588759202,-16.380387337174742,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,False,12.0
leery-sere,03:42 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.577950822058392,-18.752201571252755,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,True,18.0
whist-rail,03:41 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5706485915900334,-17.81186151066755,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,True,16.0
moody-odor,03:32 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5656124823864527,-16.915143518185108,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,True,14.0
